image_file,correct_emotion,thisN,thisTrialN,thisRepN,btn_anger.numClicks,btn_anger.timesOn,btn_anger.timesOff,btn_disgust.numClicks,btn_disgust.timesOn,btn_disgust.timesOff,btn_fear.numClicks,btn_fear.timesOn,btn_fear.timesOff,btn_happiness.numClicks,btn_happiness.timesOn,btn_happiness.timesOff,btn_neutrality.numClicks,btn_neutrality.timesOn,btn_neutrality.timesOff,btn_sadness.numClicks,btn_sadness.timesOn,btn_sadness.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,introduction_text.started,btn_start.started,introduction_text.stopped,introduction.stopped,btn_start.numClicks,btn_start.timesOn,btn_start.timesOff,trial.started,imageStim.started,btn_anger.started,btn_disgust.started,btn_fear.started,btn_happiness.started,btn_neutrality.started,btn_sadness.started,imageStim.stopped,trial.stopped,trials.btn_anger.numClicks,trials.btn_anger.timesOn,trials.btn_anger.timesOff,clickedEmotion,correct,trials.btn_disgust.numClicks,trials.btn_disgust.timesOn,trials.btn_disgust.timesOff,trials.btn_fear.numClicks,trials.btn_fear.timesOn,trials.btn_fear.timesOff,trials.btn_happiness.numClicks,trials.btn_happiness.timesOn,trials.btn_happiness.timesOff,trials.btn_neutrality.numClicks,trials.btn_neutrality.timesOn,trials.btn_neutrality.timesOff,trials.btn_sadness.numClicks,trials.btn_sadness.timesOn,trials.btn_sadness.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
faces/004_o_m_f_a.jpg,fear,29,29,0,0,,,1,[0.09614720000536181],[0.0961507000029087],0,,,0,,,0,,,0,,,0,29,29,4,9.406867799989413,,,,,,,,,,9.397311600012472,9.406867799989413,9.406867799989413,9.406867799989413,9.406867799989413,9.406867799989413,9.406867799989413,9.406867799989413,,9.503354499989655,0,,,disgust,0,1,[0.09614720000536181],[0.0961507000029087],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h18.55.130,faces_experiment,,2025.1.1,None,2025-12-05 13h18.58.826935 +0100,
faces/140_y_f_h_b.jpg,happiness,30,30,0,0,,,1,[0.08367819999693893],[0.08368489998974837],0,,,0,,,0,,,0,,,0,30,30,55,9.593493799999123,,,,,,,,,,9.581784200010588,9.593493799999123,9.593493799999123,9.593493799999123,9.593493799999123,9.593493799999123,9.593493799999123,9.593493799999123,,9.677841500000795,0,,,disgust,0,1,[0.08367819999693893],[0.08368489998974837],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h18.55.130,faces_experiment,,2025.1.1,None,2025-12-05 13h18.58.826935 +0100,
faces/079_o_f_f_a.jpg,fear,31,31,0,0,,,1,[0.06789949999074452],[0.06790339999133721],0,,,0,,,0,,,0,,,0,31,31,28,9.768007600010606,,,,,,,,,,9.7592874999973,9.768007600010606,9.768007600010606,9.768007600010606,9.768007600010606,9.768007600010606,9.768007600010606,9.768007600010606,,9.836238799995044,0,,,disgust,0,1,[0.06789949999074452],[0.06790339999133721],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h18.55.130,faces_experiment,,2025.1.1,None,2025-12-05 13h18.58.826935 +0100,
faces/168_m_f_d_b.jpg,disgust,32,32,0,0,,,1,[0.16795899998396635],[0.16796249998151325],0,,,0,,,0,,,0,,,0,32,32,63,9.919442499987781,,,,,,,,,,9.90587119999691,9.919442499987781,9.919442499987781,9.919442499987781,9.919442499987781,9.919442499987781,9.919442499987781,9.919442499987781,,10.087744499993278,0,,,disgust,1,1,[0.16795899998396635],[0.16796249998151325],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h18.55.130,faces_experiment,,2025.1.1,None,2025-12-05 13h18.58.826935 +0100,
faces/168_m_f_h_a.jpg,happiness,33,33,0,0,,,1,[0.09563719999277964],[0.09564019998651929],0,,,0,,,0,,,0,,,0,33,33,66,10.169569899997441,,,,,,,,,,10.157627300010063,10.169569899997441,10.169569899997441,10.169569899997441,10.169569899997441,10.169569899997441,10.169569899997441,10.169569899997441,,10.265568200004054,0,,,disgust,0,1,[0.09563719999277964],[0.09564019998651929],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h18.55.130,faces_experiment,,2025.1.1,None,2025-12-05 13h18.58.826935 +0100,
faces/116_m_m_s_b.jpg,sadness,34,34,0,0,,,1,[0.1581004000036046],[0.15810410000267439],0,,,0,,,0,,,0,,,0,34,34,47,10.344415400002617,,,,,,,,,,10.336061799986055,10.344415400002617,10.344415400002617,10.344415400002617,10.344415400002617,10.344415400002617,10.344415400002617,10.344415400002617,,10.50286119998782,0,,,disgust,0,1,[0.1581004000036046],[0.15810410000267439],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h18.55.130,faces_experiment,,2025.1.1,None,2025-12-05 13h18.58.826935 +0100,
faces/004_o_m_h_b.jpg,happiness,35,35,0,0,,,1,[0.04030110000167042],[0.04030429999693297],0,,,0,,,0,,,0,,,0,35,35,7,10.593085500004236,,,,,,,,,,10.579833700001473,10.593085500004236,10.593085500004236,10.593085500004236,10.593085500004236,10.593085500004236,10.593085500004236,10.593085500004236,,10.633722600003239,0,,,disgust,0,1,[0.04030110000167042],[0.04030429999693297],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h18.55.130,faces_experiment,,2025.1.1,None,2025-12-05 13h18.58.826935 +0100,
faces/140_y_f_s_b.jpg,sadness,36,36,0,0,,,1,[0.027637300023343414],[0.02764100002241321],0,,,0,,,0,,,0,,,0,36,36,59,10.725126200006343,,,,,,,,,,10.713836200011428,10.725126200006343,10.725126200006343,10.725126200006343,10.725126200006343,10.725126200006343,10.725126200006343,10.725126200006343,,10.75307919998886,0,,,disgust,0,1,[0.027637300023343414],[0.02764100002241321],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h18.55.130,faces_experiment,,2025.1.1,None,2025-12-05 13h18.58.826935 +0100,
faces/168_m_f_f_a.jpg,fear,37,37,0,0,,,1,[0.03879099999903701],[0.03879429999506101],0,,,0,,,0,,,0,,,0,37,37,64,10.844440399989253,,,,,,,,,,10.832246300007682,10.844440399989253,10.844440399989253,10.844440399989253,10.844440399989253,10.844440399989253,10.844440399989253,10.844440399989253,,10.883654600009322,0,,,disgust,0,1,[0.03879099999903701],[0.03879429999506101],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h18.55.130,faces_experiment,,2025.1.1,None,2025-12-05 13h18.58.826935 +0100,
faces/116_m_m_f_b.jpg,fear,38,38,0,0,,,1,[0.05457059998298064],[0.05457380000734702],0,,,0,,,0,,,0,,,0,38,38,41,10.968297799990978,,,,,,,,,,10.957414200005587,10.968297799990978,10.968297799990978,10.968297799990978,10.968297799990978,10.968297799990978,10.968297799990978,10.968297799990978,,11.023217699985253,0,,,disgust,0,1,[0.05457059998298064],[0.05457380000734702],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h18.55.130,faces_experiment,,2025.1.1,None,2025-12-05 13h18.58.826935 +0100,
